m, tiempoTotal
672, 13674184
673, 10967819
674, 10035335
675, 10691866
676, 12812048
677, 14565907
678, 15736940
679, 11552396
680, 12017202
681, 11124573
682, 15891378
683, 11822394
684, 10857897
685, 10176142
686, 12074469
687, 13254369
688, 14896071
689, 13778392
690, 11336254
691, 11157379
692, 10738875
693, 13141554
694, 15451491
695, 14623205
696, 10946478
697, 11477200
698, 11127695
699, 16317188
700, 15595295
701, 14971961
702, 13903159
703, 13218636
704, 13201816
705, 13172873
706, 13526025
707, 11301979
708, 13134378
709, 11657300
710, 14095111
711, 13903603
712, 14651769
713, 11717280
714, 11115216
715, 11578700
716, 16457883
717, 15356807
718, 13121098
719, 11445200
720, 11751702
721, 11905102
722, 14836630
723, 14658603
724, 13150184
725, 12375441
726, 11446976
727, 11183874
728, 14134829
729, 16050291
730, 14940979
731, 11129608
732, 12088015
733, 13061591
734, 18326192
735, 13202055
736, 10957865
737, 11539217
738, 15579941
739, 15940510
740, 15779245
741, 15586053
742, 19832327
743, 17208569
744, 16807305
745, 14314366
746, 17301399
747, 18030392
748, 14768941
749, 12474392
750, 11801617
751, 16666531
752, 14943510
753, 14083545
754, 11526082
755, 11676062
756, 11419748
757, 14978597
758, 13521532
759, 13928112
760, 11513194
761, 11725468
762, 11442738
763, 15948637
764, 17931374
765, 15052594
766, 11419830
767, 11873047
768, 13453373
769, 15967738
770, 13340969
771, 12397014
772, 12539514
773, 11759263
774, 16412399
775, 16106486
776, 15477050
777, 13916582
778, 15019305
779, 12706033
780, 14039881
781, 13129182
782, 11557461
783, 13586172
784, 17819097
785, 16720251
786, 12099242
787, 12655034
788, 14233547
789, 16916993
790, 15200207
791, 12021870
792, 12501466
793, 14429930
794, 19521235
795, 16542944
796, 16553565
797, 17378718
798, 21743286
799, 16127219
800, 15601897
801, 16757502
802, 17785631
803, 19690477
804, 15751341
805, 14925405
806, 15610615
807, 15803638
808, 12788181
809, 12773448
810, 15573636
811, 22585595
812, 17419720
813, 16726150
814, 16407526
815, 16998991
816, 14714618
817, 13278385
818, 12737437
819, 14179905
820, 16332868
821, 13704470
822, 13083574
823, 11914146
824, 14443199
825, 14843584
826, 13601489
827, 13442648
828, 13091145
829, 15330824
830, 15418251
831, 13726444
832, 13267807
833, 12835017
834, 14077515
835, 14557306
836, 15346411
837, 13874694
838, 13122168
839, 14318328
840, 14974074
841, 15780232
842, 13105577
843, 13370146
844, 15093899
845, 17065834
846, 15943989
847, 13709629
848, 14305503
849, 14664694
850, 18501572
851, 14280648
852, 13477086
853, 13246386
854, 18108130
855, 16428536
856, 14925940
857, 12425144
858, 15299188
859, 16276275
860, 16388116
861, 14177079
862, 14134818
863, 14219214
864, 14377416
865, 16531823
866, 14859637
867, 14290797
868, 12852518
869, 15701396
870, 14368826
871, 16600023
872, 14623055
873, 14736685
874, 15071705
875, 17082927
876, 15676824
877, 13382217
878, 13654695
879, 16513452
880, 17703702
881, 14302392
882, 13481513
883, 13849924
884, 18828397
885, 17073306
886, 14632348
887, 12739177
888, 15160331
889, 15727633
890, 18304371
891, 14108011
892, 14638237
893, 14160608
894, 18104994
895, 18232292
896, 15099413
897, 14526481
898, 13344639
899, 19120136
900, 17677679
901, 14264699
902, 15227811
903, 13377315
904, 17967166
905, 18932204
906, 15765969
907, 14116950
908, 13974824
909, 17472967
910, 18532688
911, 13532617
912, 14728411
913, 13853814
914, 18493618
915, 17401693
916, 15160496
917, 13877142
918, 14029244
919, 24011703
920, 17059126
921, 14131315
922, 14096254
923, 16030937
924, 18251391
925, 17710043
926, 14233785
927, 14563622
928, 15472137
929, 17791852
930, 16965175
931, 14646956
932, 15662906
933, 14596499
934, 18707098
935, 18209035
936, 16601773
937, 14293242
938, 14396544
939, 18131261
940, 18578864
941, 15293132
942, 14187656
943, 14177184
944, 20278573
945, 16894081
946, 15410791
947, 14601656
948, 14718439
949, 15868381
950, 16824380
951, 16230203
952, 15340352
953, 15231814
954, 18092865
955, 17659953
956, 15132859
957, 14734966
958, 14563881
959, 20147577
960, 18414299
