cant_ejes, ns_rutas_completas, ns_rutas_vacias, ns_rutas_esparso_conexo, ns_rutas_esparso_disconexo, ns_rutas_denso_conexo, ns_rutas_denso_disconexo
142, 15288271, 14528073, 12753798, 9772988, 16823112, 13645703
143, 14239086, 11781571, 12965653, 9602949, 12986835, 14582539
144, 13072551, 16638513, 13062283, 12270264, 16626810, 18054103
145, 13142427, 15358145, 12191863, 10854616, 17047712, 14276564
146, 16285009, 13028133, 13218393, 11539326, 18950617, 14804071
147, 13654742, 13303775, 13574465, 11931262, 15273437, 17577164
148, 15099903, 12722323, 14243867, 12089394, 17410114, 14598653
149, 15333841, 13232789, 13245138, 11847117, 15052250, 15053078
150, 16853129, 16639441, 15244053, 17649736, 16917661, 17663885
151, 21434301, 19210284, 16733059, 16004574, 18202557, 21614623
152, 16172772, 16638104, 15825337, 17418507, 15134458, 17954060
153, 15607379, 15367867, 14248814, 12553410, 17191881, 16563183
154, 19498376, 15302982, 17003151, 14120319, 16498866, 16713006
155, 18509019, 14222158, 13346760, 12624052, 15617246, 14837162
156, 15853730, 12266648, 13610186, 13496611, 15888673, 15674972
157, 16608327, 16271238, 16589300, 13738383, 17221547, 15627576
158, 18263244, 17096983, 14118704, 14096179, 16029944, 17904159
159, 17889770, 17603483, 18115240, 14520842, 17878000, 15990368
160, 15341334, 16734651, 16929684, 17512737, 15938093, 18064950
161, 18988275, 14751309, 17919770, 13844521, 16980719, 20810730
162, 17148178, 14258033, 15529421, 18841639, 18165499, 18460916
163, 17718810, 18582870, 18006180, 17524170, 18121264, 20490383
164, 19517617, 18167429, 20046599, 11908495, 17953467, 19206828
165, 19518222, 17291993, 17261327, 17354679, 21543022, 19449495
166, 19550766, 16802118, 15762859, 14445280, 22855380, 21284091
167, 25049672, 16818086, 19530378, 17710022, 18142273, 21895737
168, 22475803, 22417628, 17435909, 16574325, 17431910, 18251646
169, 19675119, 20678920, 17229848, 14320229, 19937025, 19023342
170, 23643433, 17679620, 19226749, 15194375, 18356655, 20705389
171, 21251731, 18375886, 19870464, 15453092, 23324317, 20088552
172, 25549858, 15741231, 19104279, 16633646, 20740483, 20996201
173, 21153283, 19331183, 19865189, 18323821, 20924146, 22588384
174, 21064745, 19273122, 17441960, 16686577, 21766081, 21301728
175, 22831679, 23415958, 19533106, 16724376, 20299853, 22592747
176, 22046581, 16416937, 23767650, 21709999, 26404597, 20714954
177, 20807289, 18009726, 20230130, 18559004, 20462286, 21336008
178, 22830520, 21149918, 18591426, 18988911, 28557796, 19597415
179, 22283509, 18107048, 22049642, 16737092, 21736162, 22401528
180, 21714274, 22004934, 22500525, 17459494, 24324790, 23195590
181, 24727662, 20711890, 21833768, 16752750, 28417191, 22419860
182, 23068581, 19110181, 19546331, 19463246, 30422372, 23019357
183, 23811276, 20619366, 25002443, 18744047, 26156477, 24650958
184, 26277412, 22223171, 18943877, 17746409, 25787399, 23845619
185, 24492970, 24345607, 19223733, 18990417, 24553690, 29744837
186, 27169955, 21453166, 20926765, 20066860, 25054323, 22992195
187, 26461169, 19515988, 22787005, 20998231, 28323604, 28536708
188, 28319783, 22591467, 22786629, 17341633, 28047013, 25607398
189, 25302286, 21640694, 23345027, 22288554, 25007003, 24354054
190, 29067504, 24756228, 25371129, 21416117, 26812794, 25579232
191, 25381228, 21790344, 24222200, 22120861, 26526762, 27616939
192, 30100673, 24072501, 27091253, 20150266, 26555732, 26663943
193, 27235492, 22446554, 21997550, 21946155, 24081947, 31065914
194, 29583770, 24347115, 25593327, 22375433, 24813190, 30292659
195, 25253286, 24583060, 22429232, 22200034, 27041987, 29586822
196, 28183420, 26015180, 27635934, 21367748, 24272741, 28975926
197, 26072371, 23376855, 24543310, 25711631, 30541289, 31332525
198, 25868392, 21415350, 24793133, 21211376, 30939507, 27086938
199, 28022311, 22818872, 24413353, 22912986, 25309112, 28836771
200, 29141079, 28716432, 24013229, 24201364, 33440260, 25408759
201, 26901598, 25075098, 22112367, 21452383, 31844300, 30957095
202, 28050561, 28671482, 27475433, 22935875, 28799755, 28605730
203, 32804822, 23197515, 28778612, 24519257, 31530672, 33995728
204, 29050096, 29627063, 27677395, 23549883, 33845822, 31319712
205, 28703889, 27096788, 29469704, 21077176, 34703006, 31458135
206, 34742611, 30616573, 28309787, 26062439, 29159381, 34881671
207, 30764807, 27397414, 29861575, 24779341, 27166218, 29974433
208, 34513078, 28420824, 30764339, 24824485, 34503999, 31209076
209, 30486734, 27113226, 25899672, 25867320, 30119056, 32932026
210, 30127209, 26347152, 28995405, 24090606, 38226787, 30584059
211, 31914316, 30544807, 31486976, 23233487, 33306891, 33645149
212, 34741881, 35640209, 33705022, 25553677, 31769904, 40438407
213, 35920780, 29215757, 28097839, 26090559, 32165906, 35243464
214, 37347041, 28746261, 31951294, 27034126, 37791811, 37549552
215, 36872448, 29864794, 29939175, 24268004, 34800165, 33432487
216, 32961715, 34695410, 37183827, 28732717, 39149446, 39808121
217, 43589990, 37863696, 39294813, 33492633, 43074640, 50096433
218, 71781211, 63739423, 55320959, 69561573, 71379298, 68344229
219, 80314206, 64348059, 60671347, 54292736, 66366199, 78169034
220, 69446671, 63946449, 63612175, 49144349, 74412769, 67917621
221, 64335421, 49096907, 58977080, 61269651, 66722044, 71189481
222, 97108299, 52920089, 58291770, 47669973, 65593435, 71529082
223, 67586144, 62086580, 64330762, 62995893, 80185352, 87633003
224, 99503555, 68454559, 79801810, 54433126, 70904826, 80042072
225, 69542678, 62041531, 47297325, 50382399, 64387201, 77266294
226, 73548956, 68339719, 61638792, 51914065, 67007358, 76341398
227, 74652889, 55152878, 62998269, 62137909, 70944370, 73790208
228, 70677223, 64625626, 63655386, 43237357, 66781650, 78195104
229, 55113844, 44431771, 40677938, 28760958, 39941670, 48775177
230, 35732476, 31385433, 34788724, 34151891, 39929885, 41259693
231, 45825692, 32393743, 35201610, 29462977, 44974768, 40621046
232, 54344329, 43494004, 40289790, 34282530, 60458373, 57361593
233, 59569257, 41640998, 43867792, 32733486, 39010184, 46153974
234, 43981785, 37498310, 37466374, 48226294, 51235483, 43778291
235, 52100978, 35801557, 42979240, 40648728, 42299076, 43853126
236, 35271572, 40894285, 35583275, 34644644, 37492073, 44162691
237, 43369960, 38729597, 37934749, 28028542, 44972892, 41100726
238, 39271098, 39157079, 38214280, 34374503, 42997316, 41574406
239, 47371510, 41597010, 34535332, 31648734, 44812743, 49940062
240, 40042485, 36381571, 38697949, 36278339, 42743282, 57907728
241, 47496347, 37794822, 38016870, 36719576, 45026454, 43836231
242, 46169352, 37822588, 46024792, 51319232, 64630475, 42477702
243, 52050728, 43722345, 48451333, 41834046, 46219583, 52715264
244, 53015943, 43104026, 42664467, 36129316, 53659475, 47268968
245, 49317701, 46136645, 47652404, 41631894, 44201369, 50290208
246, 60734086, 43523788, 52788618, 36833241, 45060447, 54596787
247, 45850775, 42122735, 37725400, 39495311, 50381149, 49906524
248, 48344546, 48801038, 39453363, 37119102, 61474111, 58893230
249, 44589014, 46294170, 42464425, 37555893, 47524072, 44210743
250, 45967912, 48279822, 45365030, 42532115, 46605872, 49925253
251, 52723041, 43402194, 42487015, 35548584, 49710837, 46339432
252, 44988693, 39206750, 45190487, 32236733, 48200849, 56222306
253, 51382582, 42270055, 45918371, 40002689, 53143697, 42257730
254, 55061943, 45227070, 47694671, 41121046, 66825446, 50564510
255, 46255854, 41240961, 43051452, 34584464, 47834030, 49083066
256, 50200067, 40072386, 41725620, 37979546, 61283065, 62260084
257, 65684081, 49176456, 55116997, 44905296, 54267293, 51621724
258, 48824466, 43145147, 47004349, 44147184, 51009879, 56940638
259, 50203412, 41054958, 52876735, 38983328, 52218245, 52607422
260, 49963755, 44450071, 40080720, 45865636, 52645989, 52849189
261, 54130385, 46554038, 47603773, 44986383, 59650295, 66899530
262, 57711870, 47945084, 45546252, 41165807, 47218702, 49741404
263, 57099505, 43922803, 42959112, 43383814, 54505022, 59538075
264, 55961212, 45430154, 45141359, 40959049, 53743856, 54464323
265, 58238445, 51629046, 63717933, 41144969, 54259781, 65293089
266, 53994787, 49388913, 49841517, 48050364, 59172554, 58447586
267, 70505369, 71682841, 61671453, 60660976, 83644035, 87819781
268, 93969098, 74326304, 87374704, 56268750, 70850811, 84296300
269, 53318629, 45702648, 52924604, 43293275, 55975654, 59809038
270, 52588704, 53649119, 53445103, 39368003, 51990788, 58234840
271, 57364934, 50214920, 53027965, 49168239, 65330237, 66355896
272, 82933910, 57726641, 61022552, 57040915, 67421754, 85405924
273, 74973789, 60017253, 53520687, 55113959, 63046550, 68804702
274, 52438433, 55872118, 58601580, 41938439, 54311947, 56086568
275, 54379685, 53161311, 45379415, 45859795, 60437230, 60137264
276, 58777778, 52475458, 54224074, 44992550, 62461910, 66705771
277, 55815537, 44595476, 55294226, 47477432, 61977393, 59239783
278, 64404400, 49832397, 56938137, 45848381, 58824376, 63418115
279, 65268929, 44291756, 53970191, 52359437, 61836407, 64331688
280, 68764039, 59974847, 54534555, 46701735, 61255480, 62072035
281, 64898589, 65816665, 69217018, 59484053, 67215197, 73201227
282, 115401637, 100655066, 99337757, 85222386, 112706076, 108319147
283, 138310809, 107711341, 90287108, 91473227, 139108221, 135897677
284, 90159751, 93277348, 84348359, 74618166, 114443192, 88815495
285, 140436566, 103822379, 120501818, 102851587, 119379765, 124701632
286, 147393768, 92566520, 101867187, 108969875, 135935091, 120494731
287, 118303281, 94226736, 100218134, 82794330, 121662117, 132238914
288, 125532277, 88700738, 86297423, 75691703, 130966264, 115345052
289, 117076653, 113738651, 88626408, 85522737, 109214622, 112685240
290, 74497212, 66361725, 73870470, 62392130, 85399779, 74128340
291, 73732385, 59781696, 60657108, 61702874, 58718125, 70042315
292, 62060041, 51653538, 57757886, 46283036, 65487583, 63317434
293, 66281561, 57117590, 59719504, 51939448, 62757539, 65445800
294, 63575704, 66424306, 64549851, 49368001, 63740539, 69908668
295, 64802643, 55225429, 53071785, 66873346, 61696425, 67067338
296, 71355432, 63351785, 66507072, 48526933, 64846739, 61255355
297, 79031722, 66724781, 65064473, 54881425, 74589538, 71279759
298, 68874791, 61336618, 73272950, 60609711, 69408486, 74350440
299, 74566995, 70147543, 59646054, 69018099, 88191017, 86090469
300, 71785125, 72657044, 62344717, 51290626, 68556113, 73007089
301, 64595292, 63051323, 59401576, 57199091, 79910894, 78640723
302, 73422203, 57303507, 66240508, 63327393, 75628966, 73583553
303, 70349899, 58438609, 61570213, 60912436, 71157958, 70990821
