cant_ejes, ns_rutas_completas, ns_rutas_vacias, ns_rutas_esparso_conexo, ns_rutas_esparso_disconexo, ns_rutas_denso_conexo, ns_rutas_denso_disconexo
278, 79174515, 66800445, 76743925, 69474531, 90837836, 74859101
279, 69578294, 59195387, 57431369, 60352763, 60624158, 64715614
280, 67507229, 57398096, 55034142, 55757658, 60381424, 69758636
281, 67731402, 60939504, 55596759, 52246409, 77803979, 81682938
282, 76478613, 61691559, 65330411, 54155699, 75346879, 73134872
283, 68677061, 69728180, 62587872, 53611362, 69559684, 76635630
284, 65420478, 58205716, 54650729, 47441235, 65999101, 64333223
285, 71646940, 60508035, 56816002, 48103929, 72985628, 70444895
286, 74764715, 60789757, 58689857, 69696279, 74083344, 74918412
287, 74157171, 58586845, 58079597, 58304492, 72471622, 74277867
288, 61394512, 51791000, 55247784, 47604582, 62438313, 66096121
289, 64265253, 56910061, 51074211, 45091803, 66638005, 68620334
290, 66701909, 54172698, 57941694, 58073441, 72953145, 71085762
291, 77257271, 64322183, 69775200, 57540837, 73414526, 73555514
292, 78536101, 62782724, 61597551, 55201497, 67393120, 81728172
293, 72260006, 60691820, 64732017, 53246250, 67434609, 70270509
294, 73264998, 63807191, 63439533, 52063419, 65346289, 73558536
295, 79681822, 69949555, 64285491, 62592390, 83011939, 81955048
296, 67085710, 59829577, 68002146, 52714328, 68407557, 83841409
297, 85520012, 63665636, 61288268, 63414614, 77477645, 75370097
298, 76489824, 60870448, 67126414, 63137250, 68785592, 75183086
299, 81206271, 68932801, 65069427, 61685095, 74687490, 79471507
300, 89201026, 64166030, 74820266, 58567277, 73894995, 76179599
301, 83907974, 75998743, 80596110, 59801138, 84958470, 86770928
302, 80314214, 62484522, 76651176, 61583653, 76739138, 75292164
303, 75934300, 67863998, 65201401, 65994742, 74206211, 74123634
304, 85029159, 77748803, 63600298, 57958326, 81859423, 80571651
305, 76914707, 64674912, 63676436, 75846058, 75031268, 84153615
306, 82684192, 74555029, 88555965, 72047436, 90099023, 86170445
307, 90392905, 76916600, 86217760, 66375171, 84379943, 98216347
308, 85101785, 72202976, 71195569, 72520378, 87591858, 81640541
309, 70830475, 71995355, 74819674, 55266268, 88877333, 73302496
310, 82811640, 69131226, 72065882, 65306131, 75216097, 83802843
311, 88880025, 83656251, 73331551, 63102599, 88807185, 89054949
312, 106794016, 82461208, 80116532, 74276760, 92709553, 90051421
313, 83821882, 69352437, 78063140, 62577252, 97535983, 88223859
314, 98046782, 90870248, 83187824, 71298405, 90253327, 92418070
315, 82258812, 81778393, 74376838, 64117637, 88444493, 86738546
316, 95994521, 87637986, 86726013, 97256743, 102419618, 105874420
317, 85249987, 80039810, 84680308, 61969927, 98999396, 88656289
318, 84353634, 72344748, 72855169, 61252625, 85936712, 90501969
319, 95892254, 95205805, 89457661, 78969378, 119921238, 108426217
320, 105918084, 88516792, 100230471, 87528571, 115878863, 104369768
321, 84512833, 81140335, 78802675, 79900651, 93152320, 104352084
322, 96539524, 89620704, 93581836, 83316484, 106120678, 97893529
323, 90830239, 67160784, 101316917, 63398652, 85069071, 98813254
324, 99572193, 83698833, 73580682, 70897200, 94676279, 105771227
325, 84068867, 72490820, 72194611, 72779920, 80240369, 94854038
326, 89109614, 72740445, 73805069, 68831363, 83080870, 82867756
327, 89963526, 74995803, 80062777, 61365727, 89593467, 85016916
328, 86083450, 78529855, 80439210, 65825423, 86044605, 97450721
329, 83452620, 81578156, 71397206, 69234556, 79206782, 86575127
330, 90377265, 80739953, 73816663, 69906824, 87036775, 94705402
331, 89654166, 77746028, 78439902, 77379175, 92261522, 81479398
332, 102867941, 83503682, 88662133, 60700562, 84377686, 83843400
333, 97839182, 84131880, 91529760, 71419722, 103843144, 87054058
334, 92748357, 85463002, 93865286, 75083337, 109861735, 111321611
335, 95298897, 77313422, 82972978, 73080518, 85435376, 92890698
336, 101234365, 83116182, 78553385, 73968324, 98543579, 83503512
337, 94909627, 82581784, 76746371, 76481066, 91132798, 92669538
338, 106948734, 84765663, 86322320, 76305401, 103028322, 87621780
339, 95897228, 88174438, 82978503, 69873554, 86894856, 94489768
340, 83363846, 77517158, 81643950, 72323865, 101295622, 90612432
341, 112547143, 87851642, 96729202, 76446932, 87871481, 91857197
342, 99042563, 87140190, 77478548, 72688412, 103837371, 110784584
